,timesteps,ep_reward,num_updates,episodes
0,200,-571.9537799663696,0,0
1,100,-231.23673852882044,0,1
2,200,-441.23460483130293,0,2
3,90,-157.42997518586878,0,3
4,200,-442.0288625367782,0,4
5,200,-533.6843767599244,0,5
6,200,-358.896898870475,0,6
7,200,-428.0215594853207,0,7
8,200,-510.6096380169824,0,8
9,200,-515.3204817085556,0,9
10,200,-604.2727677112639,0,10
11,135,-365.08653850218883,1,11
12,200,-528.6457113307114,0,12
13,38,-81.06302864017195,0,13
14,200,-471.5484284357157,0,14
15,40,-80.17965376531592,0,15
16,200,-466.76410007701134,0,16
17,76,-140.79929773546593,0,17
18,200,-505.1719766304322,0,18
19,200,-455.0963270846774,0,19
20,200,-369.8773110116718,0,20
21,200,-476.87049022170294,0,21
22,200,-458.61233084828405,0,22
23,200,-400.71707925753304,1,23
24,200,-493.1305026245016,0,24
25,200,-394.4414380305123,0,25
26,200,-369.3507069929315,0,26
27,200,-407.1881976238092,0,27
28,155,-272.33718362058255,0,28
29,59,-98.23732211745273,0,29
30,200,-378.48743586096316,0,30
31,200,-463.8353489956948,0,31
32,136,-248.77326359186884,0,32
33,200,-470.8481759685015,0,33
34,200,-373.13433581675525,1,34
35,200,-373.0086256256852,0,35
36,59,-112.27989794245791,0,36
37,91,-132.84925988947387,0,37
38,152,-269.41414208748773,0,38
39,179,-312.24642636321363,0,39
40,134,-233.26818809582724,0,40
41,57,-108.70380504228773,0,41
42,77,-121.59565530454749,0,42
43,31,-53.05485769713479,0,43
44,128,-191.8417612242197,0,44
45,31,-60.52375115838202,0,45
46,50,-110.83645702637448,0,46
47,200,-412.86542635231245,0,47
48,199,-378.3861182577819,0,48
49,85,-180.71257795416054,0,49
50,44,-80.45341408434949,0,50
51,171,-280.24588013145427,0,51
52,44,-74.0369296337514,0,52
53,50,-89.2453594709337,1,53
54,199,-330.70268262746885,0,54
55,21,-35.80822378645589,0,55
56,62,-160.6227921518553,0,56
57,80,-111.97916988348746,0,57
58,200,-386.81684261963875,0,58
59,53,-114.8151498435917,0,59
60,105,-151.32287415505706,0,60
61,200,-377.51677089391734,0,61
62,18,-31.397884270577798,0,62
