,episode_length,ep_reward,episodes,total_step,average_return
0,20,-2.0,99,2000,0.12
1,20,0.0,199,4000,0.24
2,20,0.0,299,6000,0.39
3,20,-1.0,399,8000,0.33
4,20,0.0,499,10000,0.2
5,20,-2.0,599,12000,0.41
6,20,1.0,699,14000,0.36
7,20,1.0,799,16000,0.37
8,20,1.0,899,18000,0.44
9,20,0.0,999,20000,0.23
10,20,2.0,1099,22000,0.4
11,20,0.0,1199,24000,0.38
12,20,2.0,1299,26000,0.48
13,20,1.0,1399,28000,0.5
14,20,1.0,1499,30000,0.53
15,20,2.0,1599,32000,0.5
16,20,0.0,1699,34000,0.65
17,20,2.0,1799,36000,0.63
18,20,0.0,1899,38000,0.73
19,20,1.0,1999,40000,0.76
20,20,-1.0,2099,42000,0.7
21,20,0.0,2199,44000,0.77
22,20,0.0,2299,46000,0.68
23,20,0.0,2399,48000,1.11
24,20,1.0,2499,50000,0.96
25,20,-1.0,2599,52000,1.08
26,20,0.0,2699,54000,1.14
27,20,0.0,2799,56000,0.94
28,20,2.0,2899,58000,0.9
29,20,2.0,2999,60000,1.03
30,20,0.0,3099,62000,0.82
31,20,0.0,3199,64000,1.04
32,20,0.0,3299,66000,1.12
33,20,1.0,3399,68000,1.01
34,20,0.0,3499,70000,1.27
35,20,1.0,3599,72000,1.05
36,20,-1.0,3699,74000,1.07
37,20,2.0,3799,76000,0.95
38,20,2.0,3899,78000,1.23
39,20,3.0,3999,80000,1.36
40,20,1.0,4099,82000,1.13
41,20,2.0,4199,84000,1.15
42,20,2.0,4299,86000,1.09
43,20,2.0,4399,88000,1.39
44,20,0.0,4499,90000,1.43
45,20,2.0,4599,92000,1.02
46,20,1.0,4699,94000,1.4
47,20,1.0,4799,96000,1.38
48,20,3.0,4899,98000,1.4
49,20,-1.0,4999,100000,1.23
